个体ID,初始_tau_mean,进化后_tau_mean,tau_mean变化,初始_tau非有限值数,进化后_tau非有限值数
0,0.9746560454368592,0.8527336120605469,-0.12192243337631237,0,45258
1,0.9859942197799684,0.9034470915794371,-0.08254712820053123,0,46854
2,0.9838505387306212,0.86797696352005,-0.11587357521057118,0,46512
3,0.9915125966072084,0.8876804709434509,-0.10383212566375744,0,46056
4,1.00444507598877,0.8936742544174194,-0.11077082157135054,0,45372
5,0.946134626865387,0.8350314497947693,-0.11110317707061768,0,45828
6,0.9481008052825928,0.8856767416000366,-0.06242406368255615,0,46170
7,0.9567629098892212,0.8847016096115112,-0.07206130027770996,0,45486
8,0.970864474773407,0.9185653328895568,-0.05229914188385021,0,45828
9,0.977889895439148,0.850246012210846,-0.127643883228302,0,46056
